,Category ID
0,44792
1,1789
2,1520
3,1882
4,931
5,915
6,1703
7,976
8,1686
9,27616
10,6000
11,27498
12,8371
13,1846
14,1883
15,17166
16,4384
17,1815
18,11312
19,8594
20,8322
21,4221
22,1975
23,1801
24,54042
25,8339
26,6568
27,10416
28,10418
29,11601
30,5250
31,2640
32,10570
33,15078
34,11603
35,2552
36,10414
37,2553
38,10415
39,2554
40,10417
41,2555
42,2600
43,10419
44,10423
45,2606
46,10424
47,6570
48,10448
49,6571
50,6572
51,2609
52,2567
53,2585
54,2584
55,2576
56,2593
57,2557
58,2560
59,2558
60,8461
61,2561
62,2564
63,10449
64,2565
65,6567
66,8462
67,2580
68,2569
69,2568
70,2570
71,2574
72,2577
73,2575
74,6576
75,2582
76,2586
77,2590
78,2589
79,2592
80,10476
81,10477
82,10478
83,10479
84,10480
85,10481
86,10482
87,1948
88,8469
89,1938
90,2848
91,4493
92,4506
93,10523
94,4594
95,4604
96,4505
97,10445
98,4500
99,4504
100,4601
101,10536
102,10537
103,10538
104,10539
105,10509
106,10510
107,10511
108,10512
109,3170
110,3787
111,3788
112,3789
113,3790
114,3792
115,4453
116,3793
117,10513
118,10514
119,10515
120,10516
121,10517
122,10518
123,10519
124,10520
125,10521
126,10522
127,3211
128,8472
129,3212
130,8471
131,10526
132,10527
133,10528
134,10529
135,10530
136,10531
137,10532
138,10533
139,10534
140,10535
141,54724
142,10540
143,10541
144,10542
145,10543
146,6580
147,10556
148,2654
149,2656
150,10559
151,6581
152,4386
153,4399
154,4400
155,4388
156,4387
157,4406
158,4441
159,8295
160,4409
161,4395
162,4398
163,10237
164,4401
165,10238
166,4402
167,8239
168,4403
169,4404
170,4405
171,10231
172,5191
173,5188
174,5189
175,5190
176,5192
177,8495
178,8496
179,10601
180,5252
181,5253
182,5602
183,5254
184,8475
185,8473
186,5260
187,6122
188,6488
189,5255
190,10548
191,5257
192,5258
193,5256
194,8520
195,5943
196,5259
197,8476
198,8477
199,8480
200,8478
201,8479
202,8481
203,8482
204,8483
205,6124
206,5261
207,5262
208,5274
209,8484
210,5275
211,8485
212,5284
213,8486
214,8487
215,8488
216,8490
217,8489
218,5278
219,5277
220,4606
221,4610
222,8492
223,5280
224,5279
225,8491
226,8493
