,Category ID
0,1789
1,54042
2,6568
3,10416
4,10418
5,10570
6,2552
7,10414
8,2553
9,10415
10,2554
11,10417
12,2555
13,2600
14,10419
15,10423
16,2606
17,10424
18,6570
19,10448
20,6571
21,6572
22,2609
23,2584
24,2576
25,2593
26,2557
27,2560
28,2558
29,8461
30,2561
31,2564
32,10449
33,2565
34,6567
35,8462
36,2580
37,2569
38,2568
39,2570
40,2574
41,2577
42,2575
43,6576
44,2582
45,2586
46,2590
47,2589
48,2592
49,10476
50,10477
51,10478
52,10479
53,10480
54,10481
55,10482
56,1948
57,8469
58,10523
59,4604
60,4505
61,10445
62,4500
63,4504
64,4601
65,10536
66,10537
67,10538
68,10539
69,10509
70,10510
71,10511
72,10512
73,3170
74,3787
75,3788
76,3789
77,3790
78,3792
79,4453
80,3793
81,10513
82,10514
83,10515
84,10516
85,10517
86,10518
87,10519
88,10520
89,10521
90,10522
91,3211
92,8472
93,3212
94,8471
95,10526
96,10527
97,10528
98,10529
99,10530
100,10531
101,10532
102,10533
103,10534
104,10535
105,54724
106,6580
107,10556
108,2654
109,2656
110,10559
111,6581
112,4388
113,4406
114,4441
115,8295
116,4409
117,4395
118,4398
119,10237
120,4401
121,10238
122,4402
123,8239
124,4403
125,4404
126,4405
127,10231
128,8495
129,8496
130,10601
131,5252
132,5253
133,5602
134,5254
135,5260
136,6122
137,6488
138,5255
139,10548
140,5257
141,5258
142,5256
143,8520
144,5943
145,5259
146,8476
147,8477
148,8480
149,8478
150,8479
151,8481
152,6124
153,5261
154,5262
155,5274
156,8484
157,5275
158,8485
159,5284
160,8486
161,8487
162,8488
163,8490
164,8489
165,5278
166,5277
167,4610
168,8492
169,5280
170,5279
171,8491
172,8493
173,5616
174,5281
175,5276
176,5285
177,5649
178,4608
179,4609
180,44824
181,54276
182,54398
183,54430
184,54438
185,54466
186,54292
187,54294
188,54296
189,54298
190,54300
191,54304
192,54306
193,54308
194,54310
195,54312
196,54314
197,54318
198,54320
199,54322
200,54324
201,54326
202,54328
203,44832
204,54332
205,54334
206,54336
207,54338
208,54340
209,54342
210,54346
211,54348
212,54350
213,54352
214,54354
215,54356
216,54358
217,54360
218,54364
219,54366
220,54368
221,54370
222,54372
223,54374
224,54376
225,54378
226,54380
227,54382
228,54386
229,54388
230,54390
231,54392
232,54394
233,54396
234,54414
235,54416
236,54418
237,54420
238,54422
239,54424
240,54426
241,54428
242,54672
243,54454
244,54456
245,54458
246,54460
247,54462
248,54464
249,54476
250,54478
251,54480
252,54482
253,54484
254,54486
255,54488
256,54490
257,54492
258,54494
259,54496
260,54498
261,54502
262,54504
263,54506
264,54508
265,54510
266,54512
267,5874
268,8142
269,8161
270,1601
271,5872
272,3424
273,11727
274,2347
275,3422
276,3426
277,17170
278,17174
279,8227
280,1583
281,8206
282,11605
283,5893
284,11673
285,11695
286,11667
287,1585
288,1586
289,1587
290,8228
291,8193
292,8194
293,8196
294,8197
295,8198
296,8189
297,8190
298,1752
299,8176
300,17186
301,1728
302,8300
303,4408
304,1627
305,1628
306,11833
307,11835
308,11837
309,10228
310,53348
311,1626
312,11757
313,8218
314,1610
315,11755
316,11733
317,1617
318,3449
319,1615
320,1619
321,11753
322,8308
323,8309
324,5900
325,8226
326,8229
327,13878
328,2348
329,11729
330,1598
331,8602
332,8224
333,11868
334,8225
335,1620
336,1623
337,11815
338,7065
339,7061
340,1613
341,1616
342,8223
343,1636
344,1637
345,8167
346,8165
347,11937
348,11939
349,1634
350,5905
351,11689
352,2334
353,11941
354,11943
355,11831
356,7064
357,11933
358,11935
359,11803
360,8205
361,8204
362,1622
363,8202
364,8199
365,8200
366,8201
367,8170
368,11903
369,2340
370,8171
371,11925
372,11921
373,2342
374,8172
375,11923
376,11929
377,11931
378,1633
379,8305
380,2162
381,2826
382,2827
383,11891
384,11857
385,11859
386,11861
387,11863
388,11865
389,11867
390,11869
391,11871
392,11873
393,11875
394,11877
395,11879
396,11881
397,4875
398,2022
399,2023
400,2044
401,1931
402,1932
403,1939
404,8082
405,2025
406,2026
407,5363
408,2315
409,1942
410,7239
411,23818
412,23820
413,23822
414,23824
415,23826
416,8728
417,2108
418,1893
419,1894
420,1895
421,1896
422,1897
423,5313
424,8123
425,24072
426,1886
427,2145
428,1927
429,1928
430,1888
431,23808
432,23810
433,2105
434,2850
435,2106
436,2107
437,2111
438,2110
439,2109
440,1993
441,1997
442,4876
443,2010
444,5614
445,5585
446,5976
447,5977
448,6510
449,8084
450,2002
451,2004
452,2003
453,5134
454,2005
455,2006
456,2007
457,2008
458,6818
459,24076
460,2038
461,2039
462,13224
463,2161
464,11860
465,26488
466,26490
467,26492
468,26494
469,49384
470,933
471,934
472,935
473,10389
474,10388
475,27580
476,27584
477,5344
478,5346
479,5345
480,53238
481,5407
482,5406
483,5408
484,49288
485,49290
486,5405
487,1701
488,939
489,938
490,49346
491,49348
492,1716
493,49350
494,27594
495,27588
496,27598
497,49352
498,27596
499,49354
500,49356
501,49358
502,49360
503,49362
504,49364
505,10385
506,49366
507,49368
508,49370
509,49374
510,49376
511,49378
512,49380
513,49382
514,8347
515,8344
516,49412
517,49418
518,49420
519,49422
520,49424
521,49426
522,8345
523,49428
524,49430
525,27574
526,49434
527,49436
528,49438
529,49442
530,27576
531,27578
532,4546
533,49516
534,49524
535,49532
536,16004
537,5333
538,1685
539,10378
540,8336
541,49444
542,49446
543,49448
544,49450
545,49452
546,10381
547,49456
548,49458
549,49460
550,49464
551,49508
