,Category ID
0,2549
1,44792
2,1789
3,1520
4,1882
5,931
6,915
7,1703
8,976
9,1686
10,27616
11,6000
12,27498
13,8371
14,1846
15,1883
16,17166
17,4384
18,1815
19,11312
20,8594
21,8322
22,4221
23,1975
24,1801
25,54042
26,2551
27,8339
28,6568
29,10416
30,10418
31,11601
32,5250
33,2640
34,10570
35,15078
36,11603
37,2552
38,10414
39,2553
40,10415
41,2554
42,10417
43,2555
44,2600
45,10419
46,10423
47,2606
48,10424
49,6570
50,10448
51,6571
52,6572
53,2609
54,2601
55,2602
56,2603
57,2556
58,2567
59,2585
60,2584
61,2576
62,2593
63,2557
64,2560
65,2558
66,8461
67,2561
68,2564
69,10449
70,2565
71,6567
72,8462
73,2580
74,10420
75,10421
76,10422
77,10430
78,10431
79,10432
80,10435
81,10434
82,10433
83,2563
84,2562
85,10429
86,10428
87,10438
88,10437
89,10439
90,10440
91,10441
92,10442
93,2569
94,2568
95,2570
96,2574
97,2577
98,2575
99,6576
100,2582
101,10450
102,10451
103,10452
104,2573
105,2572
106,2571
107,10453
108,10454
109,10455
110,10456
111,10457
112,10458
113,10459
114,10460
115,10461
116,10462
117,10463
118,10464
119,10466
120,10467
121,2586
122,2588
123,2590
124,2589
125,2592
126,10468
127,10470
128,10469
129,10471
130,10472
131,10473
132,10474
133,10475
134,10476
135,10477
136,10478
137,10479
138,10480
139,10481
140,10482
141,8464
142,8465
143,8466
144,8467
145,8468
146,10484
147,10485
148,10486
149,10487
150,10488
151,10489
152,10490
153,2578
154,3801
155,2579
156,6578
157,8470
158,10483
159,2583
160,2594
161,2596
162,2595
163,6579
164,10495
165,10496
166,10497
167,10498
168,10499
169,10500
170,10501
171,10502
172,10503
173,10504
174,10505
175,1948
176,8469
177,1938
178,2848
179,4493
180,4506
181,10523
182,4594
183,4604
184,4505
185,10445
186,4500
187,4504
188,4601
189,10536
190,10537
191,10538
192,10539
193,10506
194,10507
195,10508
196,10509
197,10510
198,10511
199,10512
200,3170
201,3787
202,3788
203,3789
204,3790
205,3792
206,4453
207,3793
208,10513
209,10514
210,10515
211,10516
212,10517
213,10518
214,10519
215,10520
216,10521
217,10522
218,3211
219,8472
220,3212
221,8471
222,10526
223,10527
224,10528
225,10529
226,10530
227,10531
228,10532
229,10533
230,10534
231,10535
232,54724
233,10524
234,10525
235,10540
236,10541
237,10542
238,10543
239,10544
240,10545
241,10546
242,10547
243,6580
244,10556
245,2654
246,2656
247,10559
248,6581
249,10554
250,2652
251,10555
252,8497
253,10558
254,8498
255,10560
256,10561
257,10562
258,10563
259,10564
260,10565
261,2644
262,10566
263,10567
264,10568
265,10569
266,10571
267,4386
268,4399
269,4400
270,4388
271,4387
272,4406
273,4441
274,8295
275,4409
276,4395
277,4398
278,10237
279,4401
280,10238
281,4407
282,4402
283,8239
284,4403
285,4404
286,4405
287,10231
288,5191
289,5188
290,5189
291,5190
292,5192
293,8495
294,8496
295,10601
296,5252
297,5253
298,5602
299,5254
300,10549
301,10550
302,10551
303,10552
304,10553
305,8475
306,8473
307,5260
308,6122
309,6488
310,5255
311,10548
312,5257
313,5258
314,5256
315,8520
316,5943
317,5259
318,8476
319,8477
320,8480
321,8478
322,8479
323,8481
324,8482
325,8483
326,6124
327,5261
328,5262
329,5274
330,8484
331,5275
332,8485
333,5284
334,8486
335,8487
336,8488
337,8490
338,8489
339,5278
340,5277
341,4606
342,4610
343,8492
344,5280
345,5279
346,8491
347,8493
348,5616
349,5281
350,5276
351,5285
352,5649
353,4608
354,4609
355,44824
356,54276
357,54290
358,54302
359,54316
360,54330
361,54344
362,54362
363,54384
364,54398
365,54412
366,54430
367,54438
368,54452
369,54466
370,54474
371,54500
372,44826
373,44828
374,54278
375,54280
376,54282
377,54284
378,54286
379,54288
380,54292
381,54294
382,54296
383,54298
384,54300
385,54304
386,54306
387,54308
388,54310
389,54312
390,54314
391,54318
392,54320
393,54322
394,54324
395,54326
396,54328
397,44832
398,54332
399,54334
400,54336
401,54338
402,54340
403,54342
404,54346
405,54348
406,54350
407,54352
408,54354
409,54356
410,54358
411,54360
412,54364
413,54366
414,54368
415,54370
416,54372
417,54374
418,54376
419,54378
420,54380
421,54382
422,54386
423,54388
424,54390
425,54392
426,54394
427,54396
428,54400
429,54402
430,54404
431,54406
432,54408
433,54410
434,54414
435,54416
436,54418
437,54420
438,54422
439,54424
440,54426
441,54428
442,54672
443,54432
444,54434
445,54436
446,54440
447,54442
448,54444
449,54446
450,54448
451,54450
452,54454
453,54456
454,54458
455,54460
456,54462
457,54464
458,54468
459,54472
460,54476
461,54478
462,54480
463,54482
464,54484
465,54486
466,54488
467,54490
468,54492
469,54494
470,54496
471,54498
472,54502
473,54504
474,54506
475,54508
476,54510
477,54512
478,1795
479,1794
480,28856
481,1796
482,8061
483,1582
484,1584
485,1594
486,1592
487,5874
488,5873
489,1591
490,1595
491,2306
492,2307
493,2322
494,8142
495,8161
496,1601
497,5872
498,3424
499,11727
500,2347
501,3422
502,3426
503,17170
504,17174
505,53350
506,8227
507,1583
508,8206
509,11605
510,5893
511,8306
512,11673
513,11695
514,11667
515,1589
516,1585
517,1586
518,1587
519,8228
520,8193
521,8194
522,8196
523,8197
524,8198
525,8189
526,8190
527,1640
528,11759
529,1600
530,2346
531,1604
532,8188
533,1596
534,11769
535,11767
536,1597
537,11771
538,1605
539,1607
540,1608
541,1641
542,8191
543,11779
544,1614
545,1611
546,11797
547,8192
548,1609
549,11799
550,1612
551,17184
552,1625
553,1752
554,8176
555,17186
556,1728
557,8300
558,4408
559,1627
560,1628
561,11833
562,11835
563,11837
564,10228
565,53348
566,1626
567,11757
568,8218
569,1610
570,11755
571,11733
572,1617
573,3449
574,8212
575,1615
576,1619
577,11753
578,8308
579,8309
580,5900
581,8226
582,8229
583,10225
584,17460
585,10218
586,10220
587,11749
588,11751
589,8216
590,8217
591,11731
592,4413
593,11735
594,11737
595,11747
596,17162
597,13878
598,2348
599,11729
600,1598
601,11739
602,11741
603,11743
604,17160
605,8220
606,8221
607,8602
608,8224
609,11868
610,8225
611,8222
612,1620
613,1623
614,11815
615,7065
616,7061
617,1613
618,1616
619,8223
620,11827
621,11829
622,17180
623,11817
624,11819
625,11821
626,11823
627,11825
628,17176
629,17178
630,17182
631,1636
632,1637
633,8167
634,8166
635,8165
636,8164
637,11937
638,11939
639,1634
640,5905
641,11689
642,1590
643,2334
644,11941
645,11943
646,11831
647,7064
648,11933
649,11935
650,11803
651,8205
652,8204
653,1622
654,8202
655,8199
656,8200
657,8201
658,11807
659,11809
660,11811
661,8170
662,11903
663,2340
664,8171
665,11925
666,11921
667,2342
668,8172
669,11923
670,11929
671,11931
672,1633
673,8305
674,2162
675,8168
676,11905
677,11907
678,11911
679,11915
680,2826
681,2825
682,2827
683,11891
684,11845
685,11847
686,11849
687,11851
688,11853
689,11855
690,11857
691,11859
692,11861
693,11863
694,11865
695,11867
696,11869
697,11871
698,11873
699,11875
700,11877
701,11879
702,11881
703,11883
704,11885
705,11887
706,11889
707,11893
708,11895
709,11897
710,11899
711,11901
712,1630
713,1631
714,1884
715,1946
716,1892
717,1885
718,4875
719,2022
720,2023
721,2044
722,2024
723,1931
724,1932
725,1939
726,8082
727,2025
728,2026
729,5363
730,2315
731,1942
732,7239
733,23818
734,23820
735,23822
736,23824
737,23826
738,8728
739,2108
740,1893
741,1894
742,1895
743,1896
744,1897
745,5313
746,8123
747,24072
748,1918
749,1919
750,1920
751,2271
752,1886
753,1887
754,2145
755,1927
756,1928
757,1888
758,23814
759,23816
760,23808
761,23810
762,1889
763,1890
764,5449
765,23812
766,2035
767,2036
768,2037
769,4746
770,23828
771,2040
772,4747
773,2041
774,2042
775,2105
776,2850
777,2106
778,2107
779,2111
780,2110
781,2109
782,24062
783,24066
784,24040
785,24048
786,24050
787,24054
788,26486
789,1993
790,1997
791,2001
792,2009
793,4876
794,2010
795,5614
796,5585
797,5010
798,5976
799,5977
800,6510
801,1994
802,1996
803,1995
804,1998
805,1999
806,8083
807,11530
808,8084
809,2002
810,2004
811,2003
812,5134
813,2005
814,2006
815,2007
816,2008
817,6818
818,24076
819,2038
820,2039
821,13224
822,2161
823,11860
824,26488
825,26490
826,26492
827,26494
828,24084
829,24088
830,24090
831,1698
832,941
833,5404
834,27600
835,936
836,1702
837,4553
838,49372
839,49384
840,4554
841,1508
842,6179
843,933
844,934
845,935
846,10389
847,10388
848,27582
849,27580
850,27584
851,5344
852,5346
853,5345
854,53238
855,5407
856,5406
857,5408
858,49288
859,49290
860,5405
861,1701
862,939
863,938
864,49346
865,49348
866,1716
867,49350
868,27594
869,27588
870,27598
871,49352
872,27596
873,49354
874,49356
875,49358
876,49360
877,49362
878,49364
879,10385
880,49366
881,49368
882,49370
883,49374
884,49376
885,49378
886,49380
887,49382
888,1509
889,1510
890,8347
891,8344
892,49412
893,49418
894,49420
895,49422
896,49424
897,49426
898,8345
899,8346
900,49432
901,49428
902,49430
903,27574
904,49434
905,49436
906,49438
907,49442
908,27576
909,27578
910,917
911,918
912,925
